covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
subject_id,-1.7099669518969332e-08,0.9999999829003307,1.0109733378972406e-08,-3.691438283505767e-08,2.7150437971190082e-09,0.9999999630856179,1.0000000027150437,0.0,-1.6914065760166874,0.0907591772049447,3.4618126597389853
gender,0.06612284021583585,1.0683579464264419,0.0694851209214498,-0.07006549425161639,0.20231117468328808,0.9323327554702082,1.224228897886229,0.0,0.9516115009799742,0.3412940466005001,1.5509128460375912
anchor_age,0.3548033058200857,1.4259001604339345,0.0147440537342323,0.3259054915148671,0.3837011201253043,1.3852844415519614,1.467706708123926,0.0,24.064162557703792,5.93399436836186e-128,422.6377925879486
disch_age,-0.3561877856066596,0.7003410939090751,0.014707345211969754,-0.38501365253031794,-0.32736191868300124,0.6804413463950618,0.7208228165679256,0.0,-24.218360314053943,1.425309121914394e-129,428.01744939467414
CKD_stage_first,-1.0518207157777237,0.3493011916011278,0.049310332904329915,-1.1484671923358907,-0.9551742392195568,0.31712248480496097,0.3847451010262112,0.0,-21.33063505814141,5.90014465542259e-101,332.9539872577758
first_stage_icd,-0.02601684791894525,0.974318674228417,0.01084085359952971,-0.04726453053569489,-0.004769165302195611,0.9538350457188463,0.995242189109118,0.0,-2.399889241200886,0.016400033291145262,5.930157446338596
eGFR_first,-0.029929911288803235,0.9705135532089185,0.013866630733101069,-0.05710800811259757,-0.0027518144650088942,0.944492051053422,0.9972519683057927,0.0,-2.158412657326878,0.030895762506555062,5.016447210221146
eGFR_last,0.036201234760768974,1.0368644786735117,0.014077638168369537,0.00860957096337827,0.06379289855815967,1.0086467399124577,1.065871632349897,0.0,2.5715417833445975,0.010124679708948847,6.625979920258447
eGFR_min,-0.009315618889709873,0.9907276370650692,0.013607257999824977,-0.03598535449771136,0.017354116718291616,0.9646544212282027,1.017505574270662,0.0,-0.6846066187493244,0.49359218929417614,1.0186085297268441
eGFR_max,0.010483887549858215,1.0105390360540174,0.01384288724143328,-0.016647672885400033,0.037615447985116464,0.9834901338406948,1.038331863484046,0.0,0.7573483310966219,0.4488412025389553,1.1557229769393391
eGFR_mean,-0.012895986506590375,0.9871868104291817,0.013788386954261702,-0.03992072834184524,0.014128755328664491,0.9608656055431806,1.014229037925061,0.0,-0.9352788364127318,0.3496446190741086,1.5160387921728546
eGFR_median,-0.018732928019011035,0.9814414427544086,0.013831446530053026,-0.04584206507200647,0.008376209033984398,0.9551928085858877,1.0084113876253549,0.0,-1.3543722978148416,0.1756176310106543,2.5094904043718893
